State,Department,Website,District,Block,portal_value_id
Delhi,A.U.Tibbia College and allied units,RTI_Online_Delhi,NA,NA,6
Delhi,Acharya Narendra Dev College,RTI_Online_Delhi,NA,NA,198
Delhi,Acharya Shree Bhikshu Hospital,RTI_Online_Delhi,NA,NA,45
Delhi,Aditi Mahavidyalaya,RTI_Online_Delhi,NA,NA,199
Delhi,Administrative Reforms Department,RTI_Online_Delhi,NA,NA,4
Delhi,Ambedkar Institute of Advance Communication Technologies and Research,RTI_Online_Delhi,NA,NA,132
Delhi,Ambedkar Institute of Technology,RTI_Online_Delhi,NA,NA,83
Delhi,Ambedkar Nagar Hospital,RTI_Online_Delhi,NA,NA,251
Delhi,Archaeological Department,RTI_Online_Delhi,NA,NA,8
Delhi,Archives Department,RTI_Online_Delhi,NA,NA,9
Delhi,"Art, Culture and Language Department",RTI_Online_Delhi,NA,NA,5
Delhi,Aruna Asaf Ali Hospital,RTI_Online_Delhi,NA,NA,7
Delhi,Aryabhat Institute of Technology,RTI_Online_Delhi,NA,NA,84
Delhi,Attar Sain Jain Eye Hospital,RTI_Online_Delhi,NA,NA,34
Delhi,B.R. Ambedkar College,RTI_Online_Delhi,NA,NA,200
Delhi,Babu Jagjivan Ram Memorial Hospital,RTI_Online_Delhi,NA,NA,35
Delhi,Bhagini Nivedita College,RTI_Online_Delhi,NA,NA,201
Delhi,Bhagwan Mahavir Hospital,RTI_Online_Delhi,NA,NA,36
Delhi,Bhai Parmanand Institute of Business Studies,RTI_Online_Delhi,NA,NA,85
Delhi,Bhaskaracharya College of Applied Sciences,RTI_Online_Delhi,NA,NA,86
Delhi,Board of Homeopathic System of Medicines,RTI_Online_Delhi,NA,NA,87
Delhi,Board of Technical Education,RTI_Online_Delhi,NA,NA,88
Delhi,Central Jail,RTI_Online_Delhi,NA,NA,15
Delhi,Centralised Accident and Trauma Services,RTI_Online_Delhi,NA,NA,221
Delhi,Chacha Nehru Super Speciality Children Hospital,RTI_Online_Delhi,NA,NA,89
