State,Department,District,Block
Delhi,Acharya Narendra Dev College,NA,NA
Delhi,Acharya Shree Bhikshu Hospital,NA,NA
Delhi,Aditi Mahavidyalaya,NA,NA
Delhi,Administrative Reforms Department,NA,NA
Delhi,Ambedkar Institute of Advance Communication Technologies and Research,NA,NA
Delhi,Ambedkar Institute of Technology,NA,NA
Delhi,Ambedkar Nagar Hospital,NA,NA
Delhi,Archaeological Department,NA,NA
Delhi,Archives Department,NA,NA
Delhi,"Art, Culture and Language Department",NA,NA
Delhi,Aruna Asaf Ali Hospital,NA,NA
Delhi,Aryabhat Institute of Technology,NA,NA
Delhi,Attar Sain Jain Eye Hospital,NA,NA
Delhi,A.U.Tibbia College and allied units,NA,NA
Delhi,Babu Jagjivan Ram Memorial Hospital,NA,NA
Delhi,Bhagini Nivedita College,NA,NA
Delhi,Bhagwan Mahavir Hospital,NA,NA
Delhi,Bhai Parmanand Institute of Business Studies,NA,NA
Delhi,Bhaskaracharya College of Applied Sciences,NA,NA
Delhi,Board of Homeopathic System of Medicines,NA,NA
Delhi,Board of Technical Education,NA,NA
Delhi,B.R. Ambedkar College,NA,NA
Delhi,Centralised Accident and Trauma Services,NA,NA
Delhi,Central Jail,NA,NA
Delhi,Chacha Nehru Super Speciality Children Hospital,NA,NA
Delhi,Chaudhary Brahm Prakash Ayurved Charak Sansthan,NA,NA
Delhi,Chaudhary Brahm Prakash Engineering College,NA,NA
Delhi,Chief Electoral Office,NA,NA
Delhi,Chief Ministers Office,NA,NA
Delhi,Chief Secretary Office,NA,NA
Delhi,Chit Fund,NA,NA
Delhi,College of Art,NA,NA
Delhi,Commission for OBC,NA,NA
Delhi,Conservator of Forest Department,NA,NA
Delhi,DCC Wholesale Stores Ltd,NA,NA
Delhi,DDU Hospital,NA,NA
Delhi,Deen Dayal Upadhyaya College,NA,NA
Delhi,Deep Chand Bandhu Hospital,NA,NA
Delhi,Delhi Agriculture Marketing. Board,NA,NA
Delhi,Delhi Bhartiya Chikitsa Parishad,NA,NA
Delhi,Delhi Building and Other Construction Workers Welfare Board,NA,NA
Delhi,Delhi Cantonment Board,NA,NA
Delhi,Delhi Commission for Protection of Child Rights,NA,NA
Delhi,Delhi Commission for Safai Karamcharis,NA,NA
Delhi,Delhi Commission for Women,NA,NA
Delhi,Delhi Co-operative Housing Finance Corporation. Ltd.,NA,NA
Delhi,Delhi Dental Council,NA,NA
Delhi,Delhi Dialogue & Development Commission,NA,NA
Delhi,Delhi Electricity Regulatory Commission,NA,NA
Delhi,Delhi Fire Service,NA,NA
Delhi,Delhi Homeopathic Anusandhan Parishad,NA,NA
Delhi,Delhi Institute of Hotel Management and Catering Technology,NA,NA
Delhi,Delhi Institute of Pharmaceutical Sciences & Research,NA,NA
Delhi,Delhi Jal Board,NA,NA
Delhi,Delhi Khadi and Village Industries Board,NA,NA
Delhi,Delhi Labour Welfare Board,NA,NA
Delhi,Delhi Legal Services Authority,NA,NA
Delhi,Delhi Legislative Assembly Secretariat,NA,NA
Delhi,Delhi Medical Council,NA,NA
Delhi,Delhi Minority Commission,NA,NA
Delhi,Delhi Nursing Council,NA,NA
Delhi,Delhi Pharmacy Council,NA,NA
Delhi,Delhi Pollution Control Committee,NA,NA
Delhi,Delhi Power Con. Ltd. (Transco),NA,NA
Delhi,Delhi SC/ST/OBC/Min. & Handicapped Finance & Development Corp. Ltd,NA,NA
Delhi,Delhi Skill and Entrepreneurship University,NA,NA
Delhi,Delhi State Cancer Institute,NA,NA
Delhi,Delhi State Civil Supplies Corporation Ltd (DSCSC),NA,NA
Delhi,Delhi State Election Commission,NA,NA
Delhi,Delhi State Hajj Committee,NA,NA
Delhi,Delhi State Health Mission,NA,NA
Delhi,Delhi State Industrial and Infrastructure Development Corporation Ltd.(DSIIDC),NA,NA
Delhi,Delhi States Aids Control Society,NA,NA
Delhi,Delhi Subordinate Services Selection Board (DSSSB),NA,NA
Delhi,Delhi Technological University,NA,NA
Delhi,Delhi Tourism and Transportation Development Corporation (DT&TDC),NA,NA
Delhi,Delhi Transport Corporation,NA,NA
Delhi,Delhi Urban Shelter Improvement Board,NA,NA
Delhi,Delhi Wakf Board,NA,NA
Delhi,Department for Welfare of SC/ST/OBC/Minorities,NA,NA
Delhi,"Department of Food, Supplies & Consumer Affairs",NA,NA
Delhi,Deputy Apprenticeship Advisor,NA,NA
Delhi,Development Department,NA,NA
Delhi,DFC (New Delhi & Chandigarh),NA,NA
Delhi,Directorate of Agricultural Marketing,NA,NA
Delhi,Directorate of Audit,NA,NA
Delhi,Directorate of Economics & Statistics,NA,NA
Delhi,Directorate of Employment,NA,NA
Delhi,Directorate of Family Welfare,NA,NA
Delhi,Directorate of Health Services (DHS),NA,NA
Delhi,Directorate of ISMH,NA,NA
Delhi,Directorate of Prosecution,NA,NA
Delhi,Directorate of Small Savings,NA,NA
Delhi,Directorate of Training and Technical Education,NA,NA
Delhi,"Directorate of Training, UTCS",NA,NA
Delhi,Directorate of Vigilance,NA,NA
Delhi,Dispensaries - Central District,Central,NA
Delhi,Dispensaries - East District,East,NA
Delhi,Dispensaries - North District,North,NA
Delhi,Dispensaries - North East District,North East,NA
Delhi,Dispensaries - North West District,North West,NA
Delhi,Dispensaries - South District,South District,NA
Delhi,Dispensaries - South-West District,South-West,NA
Delhi,Dispensaries - West District,West,NA
Delhi,Dr Baba Saheb Ambedkar Hospital,NA,NA
Delhi,Dr. B.R.Ambedkar University,NA,NA
Delhi,Dr. B.R.Sur Homeopathy Medical College & Hospital,NA,NA
Delhi,Dr. Hedgewar Arogya Sansthan Hospital,NA,NA
Delhi,Dr. N C Joshi Memorail Hospital,NA,NA
Delhi,Drug Control,NA,NA
Delhi,East Delhi Municipal Corporation,East,NA
Delhi,Education Department,NA,NA
Delhi,Environment Department,NA,NA
Delhi,Excise Department,NA,NA
Delhi,Finance Department,NA,NA
Delhi,Food Safety Department,NA,NA
Delhi,Forensic Science Laboratory,NA,NA
Delhi,G. B. Pant Government Engineering College,NA,NA
Delhi,G.B.Pant Hospital,NA,NA
Delhi,G B Pant Institute of Technology,NA,NA
Delhi,General Administration Department,NA,NA
Delhi,Gurudwara Election,NA,NA
Delhi,Guru Gobind Singh Indraprastha University,NA,NA
Delhi,Guru Govind Singh Govt. Hospital,NA,NA
Delhi,Guru Nanak Dev Institute of Technology,NA,NA
Delhi,Guru Nanak Eye Hospital,NA,NA
Delhi,Guru Teg Bahadur (GTB) Hospital,NA,NA
Delhi,Health & Family Welfare Department,NA,NA
Delhi,Higher Education Department,NA,NA
Delhi,Hindi Academy,NA,NA
Delhi,Home Department,NA,NA
Delhi,Home Guard & Civil Defence,NA,NA
Delhi,Indira Gandhi Delhi Technical University for Women (IGDTUW),NA,NA
Delhi,Indira Gandhi Hospital,NA,NA
Delhi,Indira Gandhi Institute of Physical Education & Sports Science,NA,NA
Delhi,Indraprastha Power Generation Co. Ltd. (GENCO),NA,NA
Delhi,Industries Department,NA,NA
Delhi,Information & Publicity Department (DIP),NA,NA
Delhi,Information Technology Department,NA,NA
Delhi,Institute of Human Behaviour and Allied Sciences (IHBAS),NA,NA
Delhi,Institute of Liver and Biliary Sciences,NA,NA
Delhi,Irrigation & Flood Control Department,NA,NA
Delhi,Jag Pravesh Chandra Hospital,NA,NA
Delhi,Janakpuri Super Speciality Hospital,NA,NA
Delhi,Kasturba Institute of Technology For Woman,NA,NA
Delhi,Keshav Mahavidyalaya,NA,NA
Delhi,Labour Department,NA,NA
Delhi,Lal Bahadur Shastri Hospital,NA,NA
Delhi,Land & Building Department,NA,NA
Delhi,Law Department,NA,NA
Delhi,Lok Nayak Hospital,NA,NA
Delhi,Lt. Governors Secretariat,NA,NA
Delhi,Maharaja Agrasen College,NA,NA
Delhi,Maharishi Balmiki Hospital,NA,NA
Delhi,Maharshi Valimiki College of Education,NA,NA
Delhi,Maulana Azad Institute of Dental Sciences,NA,NA
Delhi,Maulana Azad Medical College (MAMC),NA,NA
Delhi,Meera Bai Institute of Technology,NA,NA
Delhi,Municipal Corporation of Delhi,NA,NA
Delhi,National Cadet Corps,NA,NA
Delhi,National Law University,NA,NA
Delhi,Nehru Homoeopathy Medical College & Hospital (NHMC&H),NA,NA
Delhi,Netaji Subhas Institute of Technology (NSIT),NA,NA
Delhi,North Delhi Municipal Corporation,NA,NA
Delhi,"Office Of Electricity Ombudsman, GNCTD",NA,NA
Delhi,Office of Lokayukta,NA,NA
Delhi,"Office of the Minister Health & Family Welfare, Transport, Information Technology",NA,NA
Delhi,"Office of the Minister Home, Power, Urban Development, Education, Higher Education, Training & Technical Education",NA,NA
Delhi,"Office of the Minister Industries, Food & Supplies, Environment, Forest & Wild Life",NA,NA
Delhi,"Office of the Minister Law & Justice, Labour, Employment, Development, Art Culture & Language, and Tourism",NA,NA
Delhi,"Office of the Minister Social Welfare, Welfare of SC & ST, Cooperative, Election",NA,NA
Delhi,Old Delhi District,NA,NA
Delhi,Planning Department,NA,NA
Delhi,Power Department,NA,NA
Delhi,Principal Accounts Office,NA,NA
Delhi,"Principal District & Sessions Judge Central District, Tis Hazari Court, Delhi",Central District,NA
Delhi,"Principal District & Sessions Judge, Dwarka Court, South West District",South West District,NA
Delhi,"Principal District & Sessions Judge, Karkardooma Court, East District",East District,NA
Delhi,"Principal District & Sessions Judge, Karkardooma Court, North East District",North East District,NA
Delhi,"Principal District & Sessions Judge, Karkardooma Court, Shahdara District",Shahdara District,NA
Delhi,"Principal District & Sessions Judge, Patiala House Court, New Delhi District",New Delhi District,NA
Delhi,"Principal District & Sessions Judge, Rohini Court, North District",North District,NA
Delhi,"Principal District & Sessions Judge, Rohini Court, North West District",North West District,NA
Delhi,"Principal District & Sessions Judge, Rouse Avenue Court, Central District",Central District*,NA
Delhi,"Principal District & Sessions Judge, Saket Court, South District",South District,NA
Delhi,"Principal District & Sessions Judge, Saket Court, South East District",South East District,NA
Delhi,"Principal District & Sessions Judge, Tis Hazari Court, West District",West District,NA
Delhi,Prohibition Department,NA,NA
Delhi,Pt. Madan Mohan Malaviya Hospital,NA,NA
Delhi,Public Grievances Commission,NA,NA
Delhi,Public Works Department,NA,NA
Delhi,Public Works Department (PWD) - Engineer in Chief,NA,NA
Delhi,Punjabi Academy,NA,NA
Delhi,Pusa Institute of Technology,NA,NA
Delhi,Rajiv Gandhi Super Speciality Hospital,NA,NA
Delhi,Rajya Sainik Board,NA,NA
Delhi,Rao Tula Ram Memorial Hospital,NA,NA
Delhi,Registrar Co-operative Societies,NA,NA
Delhi,Revenue Department,NA,NA
Delhi,Sahitya Kala Parishad,NA,NA
Delhi,Sanjay Gandhi Memorial Hospital,NA,NA
Delhi,Sanskrit Academy,NA,NA
Delhi,Sardar Vallabh Bhai Patel Hospital,NA,NA
Delhi,Satyawadi Raja Harish Chandra Hospital (SRHC),NA,NA
Delhi,Services Department,NA,NA
Delhi,Shaheed Rajguru College of Applied Sciences for Women,NA,NA
Delhi,Shaheed Sukhdev College of Business Studies,NA,NA
Delhi,Sharda Ukil School of Art,NA,NA
Delhi,Shri Dada Dev Matri Svum Shishu Chikitsalaya,NA,NA
Delhi,Sindhi Academy,NA,NA
Delhi,Social Welfare Department,NA,NA
Delhi,South Delhi Municipal Corporation,NA,NA
Delhi,State Council of Educational Research and Training (SCERT),NA,NA
Delhi,Tourism Department,NA,NA
Delhi,Trade & Taxes (Sales Tax) Department,NA,NA
Delhi,Transport Department,NA,NA
Delhi,Urban Development,NA,NA
Delhi,Urdu Academy,NA,NA
Delhi,Vigilance and Anti Corruption,NA,NA
Delhi,Weight & Measures Department,NA,NA
Delhi,Women & Child Development Department,NA,NA
Maharashtra,Department of Animal Husbandry and Dairying Government of Maharashtra,NA,NA
Maharashtra,Ahmednagar Municipal Corporation,Ahmednagar,NA
Maharashtra,Akola Municipal Corporation,Akola,NA
Maharashtra,Amravati Municipal Corporation,Amravati,NA
Maharashtra,Aurangabad Municipal Corporation,Aurangabad,NA
Maharashtra,Chandrapur Municipal Corporation,Chandrapur,NA
Maharashtra,"Chief Minister Office, Maharashtra",NA,NA
Maharashtra,Chief Secretary Office,NA,NA
Maharashtra,"District Collector Office, Ahmednagar",Ahmednagar,NA
Maharashtra,"District Collector Office, Akola",Akola,NA
Maharashtra,"District Collector Office, Amravati",Amravati,NA
Maharashtra,"District Collector Office, Aurangabad",Aurangabad,NA
Maharashtra,"District Collector Office, Beed",Beed,NA
Maharashtra,"District Collector Office, Bhandara",Bhandara,NA
Maharashtra,"District Collector Office, Buldhana",Buldhana,NA
Maharashtra,"District Collector Office,Chandrapur",Chandrapur,NA
Maharashtra,"District Collector Office, Dhule",Dhule,NA
Maharashtra,"District Collector Office, Gadchiroli",Gadchiroli,NA
Maharashtra,"District Collector Office, Gondia",Gondia,NA
Maharashtra,"District Collector Office, Hingoli",Hingoli,NA
Maharashtra,"District Collector Office, Jalgaon",Jalgaon,NA
