application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
DL-001,dm2026q3_01,Delhi,Aditi Mahavidyalaya,ADITI MAHAVIDYALAYA,NA,NA,RTI_Online_Delhi,199,plain,RA4,v3,en,portal,,,,,,,,,,,,,
DL-002,dm2026q3_01,Delhi,Chief Ministers Office,CHIEF MINISTERS OFFICE,NA,NA,RTI_Online_Delhi,12,plain,RA4,v3,en,portal,,,,,,,,,,,,,
DL-003,dm2026q3_01,Delhi,Commission for OBC,COMMISSION FOR OBC,NA,NA,RTI_Online_Delhi,93,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-004,dm2026q3_01,Delhi,Delhi Dialogue &amp; Development Commission,DELHI DIALOGUE AND AMP; DEVELOPMENT COMMISSION,,,RTI_Online_Delhi,101,plain,RA1,v3,en,portal,,,,,,,,,,,,,
DL-005,dm2026q3_01,Delhi,Delhi Electricity Regulatory Commission,DELHI ELECTRICITY REGULATORY COMMISSION,NA,NA,RTI_Online_Delhi,102,plain,RA1,v3,en,portal,,,,,,,,,,,,,
DL-006,dm2026q3_01,Delhi,Delhi Khadi and Village Industries Board,DELHI KHADI AND VILLAGE INDUSTRIES BOARD,NA,NA,RTI_Online_Delhi,106,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
DL-007,dm2026q3_01,Delhi,Delhi Pollution Control Committee,DELHI POLLUTION CONTROL COMMITTEE,NA,NA,RTI_Online_Delhi,113,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
DL-008,dm2026q3_01,Delhi,Delhi SC/ST/OBC/Min. &amp; Handicapped Finance &amp; Development Corp. Ltd,DELHI SC/ST/OBC/MIN. AND AMP; HANDICAPPED FINANCE AND AMP; DEVELOPMENT CORP. LTD,,,RTI_Online_Delhi,115,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-009,dm2026q3_01,Delhi,Directorate of Health Services (DHS),DIRECTORATE OF HEALTH SERVICES,NA,NA,RTI_Online_Delhi,32,plain,RA1,v3,en,portal,,,,,,,,,,,,,
DL-010,dm2026q3_01,Delhi,Directorate of ISMH,DIRECTORATE OF ISMH,NA,NA,RTI_Online_Delhi,75,plain,RA2,v3,en,portal,,,,,,,,,,,,,
DL-011,dm2026q3_01,Delhi,Dr. B.R.Ambedkar University,DR. B.R.AMBEDKAR UNIVERSITY,NA,NA,RTI_Online_Delhi,131,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
