application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
DL-011,dm2026q3_01,Delhi,Dr. B.R.Ambedkar University,DR. B.R.AMBEDKAR UNIVERSITY,NA,NA,RTI_Online_Delhi,131,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
DL-012,dm2026q3_01,Delhi,G. B. Pant Government Engineering College,G. B. PANT GOVERNMENT ENGINEERING COLLEGE,NA,NA,RTI_Online_Delhi,208,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
DL-013,dm2026q3_01,Delhi,Guru Govind Singh Govt. Hospital,GURU GOVIND SINGH GOVT. HOSPITAL,NA,NA,RTI_Online_Delhi,39,plain,RA3,v3,en,portal,,,,,,,,,,,,,
DL-017,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Rohini Court, North District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,232,plain,RA3,v3,en,portal,,,,,,,,,,,,,
DL-022,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Tis Hazari Court, West District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,236,plain,RA3,v3,en,portal,,,,,,,,,,,,,
MH-004,dm2026q3_01,Maharashtra,"Collector Office,Sambhajinagar",COLLECTOR OFFICE,,,RTI_Online_Maharashtra,62,plain,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-011,dm2026q3_01,Maharashtra,"Food, Civil Supplies and Consumer Protection Department",FOOD,,,RTI_Online_Maharashtra,26,legal_salience,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-012,dm2026q3_01,Maharashtra,"Industrial Safety and Health, Marathwada region , chhatrpati sambhajinagar",INDUSTRIAL SAFETY AND HEALTH,,,RTI_Online_Maharashtra,244,plain,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-014,dm2026q3_01,Maharashtra,"Joint Director, Industrial Safety and Health, Pune Region Two",JOINT DIRECTOR,,,RTI_Online_Maharashtra,242,plain,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-015,dm2026q3_01,Maharashtra,"Joint Director of Town Planning, Digital Planning Cell, Pune",JOINT DIRECTOR OF TOWN PLANNING,,,RTI_Online_Maharashtra,276,plain,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-020,dm2026q3_01,Maharashtra,"Regional Office, Navi Mumbai, Maharashtra Pollution Control Board",REGIONAL OFFICE,,,RTI_Online_Maharashtra,343,plain,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-024,dm2026q3_01,Maharashtra,"Superintendent of Police, Akola",SUPERINTENDENT OF POLICE,Akola,NA,RTI_Online_Maharashtra,138,plain,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-029,dm2026q3_01,Maharashtra,Textile Department,TEXTILE,NA,NA,RTI_Online_Maharashtra,221,legal_salience,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
MH-032,dm2026q3_01,Maharashtra,"Zilla Parishad, Gondia",ZILLA PARISHAD,Gondia,NA,RTI_Online_Maharashtra,134,legal_salience,RA3,v4_mh150,en,portal,,,,,,,,,,,,,
