application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
DL-004,dm2026q3_01,Delhi,Delhi Dialogue &amp; Development Commission,DELHI DIALOGUE AND AMP; DEVELOPMENT COMMISSION,,,RTI_Online_Delhi,101,plain,RA1,v3,en,portal,,,,,,,,,,,,,
DL-005,dm2026q3_01,Delhi,Delhi Electricity Regulatory Commission,DELHI ELECTRICITY REGULATORY COMMISSION,NA,NA,RTI_Online_Delhi,102,plain,RA1,v3,en,portal,,,,,,,,,,,,,
DL-006,dm2026q3_01,Delhi,Delhi Khadi and Village Industries Board,DELHI KHADI AND VILLAGE INDUSTRIES BOARD,NA,NA,RTI_Online_Delhi,106,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
DL-009,dm2026q3_01,Delhi,Directorate of Health Services (DHS),DIRECTORATE OF HEALTH SERVICES,NA,NA,RTI_Online_Delhi,32,plain,RA1,v3,en,portal,,,,,,,,,,,,,
DL-015,dm2026q3_01,Delhi,National Cadet Corps,NATIONAL CADET CORPS,NA,NA,RTI_Online_Delhi,148,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
DL-020,dm2026q3_01,Delhi,"Principal District &amp; Sessions Judge, Saket Court, South District",PRINCIPAL DISTRICT AND AMP; SESSIONS JUDGE,,,RTI_Online_Delhi,227,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-006,dm2026q3_01,Maharashtra,"Commissioner of Police,Sambhajinagar",COMMISSIONER OF POLICE,,,RTI_Online_Maharashtra,72,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
MH-009,dm2026q3_01,Maharashtra,"District Supritendent of Land Record, Chandrapur",DISTRICT SUPRITENDENT OF LAND RECORD,,,RTI_Online_Maharashtra,331,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-013,dm2026q3_01,Maharashtra,"Joint Director, Industrial Safety and Health, Palghar",JOINT DIRECTOR,,,RTI_Online_Maharashtra,248,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-018,dm2026q3_01,Maharashtra,Planning Department,PLANNING,,,RTI_Online_Maharashtra,27,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-019,dm2026q3_01,Maharashtra,Pune Municipal Corporation,PUNE MUNICIPAL CORPORATION,Pune,NA,RTI_Online_Maharashtra,77,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-021,dm2026q3_01,Maharashtra,"Regional Office, Pune, Maharashtra Pollution Control Board",REGIONAL OFFICE,,,RTI_Online_Maharashtra,347,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-023,dm2026q3_01,Maharashtra,"State Information Commission, Pune",STATE INFORMATION COMMISSION,Pune,NA,RTI_Online_Maharashtra,91,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-030,dm2026q3_01,Maharashtra,Yavatmal Municipal Council,YAVATMAL MUNICIPAL COUNCIL,Yavatmal,NA,RTI_Online_Maharashtra,105,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
